epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
145,88.5275,0.79129,0.75684,0.85877,0.99151,0.96567,0.99414,0.81334,0.66883,0.54247,0.84139,0.000478762,0.000478762,0.000478762
146,89.128,0.71403,0.65873,0.84917,0.99813,0.95891,0.99429,0.8005,0.6697,0.5375,0.84177,0.000470511,0.000470511,0.000470511
147,89.7095,0.83481,0.76181,0.86249,0.99094,0.96941,0.99445,0.81647,0.67005,0.53703,0.84319,0.000462259,0.000462259,0.000462259
148,90.2863,0.76906,0.72958,0.85747,1,0.96355,0.99455,0.81654,0.66106,0.53694,0.84047,0.000454007,0.000454007,0.000454007
149,90.8769,0.76906,0.67962,0.85102,1,0.96355,0.99455,0.81654,0.66106,0.53694,0.84047,0.000445756,0.000445756,0.000445756
150,91.4329,0.77708,0.70326,0.86903,0.99958,0.96822,0.99448,0.82045,0.65996,0.5394,0.84029,0.000437504,0.000437504,0.000437504
151,91.98,0.78895,0.69186,0.85135,0.99865,0.96938,0.99448,0.8233,0.64341,0.53374,0.83747,0.000429253,0.000429253,0.000429253
152,92.5325,0.67434,0.65383,0.85908,0.99888,0.96983,0.99462,0.82293,0.63303,0.52021,0.83342,0.000421001,0.000421001,0.000421001
153,93.0715,0.65528,0.66875,0.84883,0.99888,0.96983,0.99462,0.82293,0.63303,0.52021,0.83342,0.000412749,0.000412749,0.000412749
154,93.6263,0.73784,0.69274,0.81689,1,0.96746,0.99462,0.82459,0.61867,0.51343,0.83261,0.000404498,0.000404498,0.000404498
155,94.2389,0.76096,0.74371,0.86917,1,0.96708,0.99423,0.83051,0.61374,0.51349,0.83188,0.000396246,0.000396246,0.000396246
156,94.8071,0.76426,0.67948,0.85726,0.99744,0.96696,0.99416,0.83298,0.60721,0.50979,0.83157,0.000387994,0.000387994,0.000387994
